x:584 y:1063 width:11 height:12 class_idx:100 text:可
x:199 y:655 width:46 height:35 class_idx:101
x:331 y:841 width:19 height:23 class_idx:102
x:343 y:293 width:16 height:18 class_idx:104 text:+
x:574 y:274 width:56 height:36 class_idx:101
x:343 y:399 width:17 height:21 class_idx:104 text:+
x:362 y:434 width:28 height:22 class_idx:104 text:143
x:580 y:904 width:23 height:24 class_idx:100 text:云
x:445 y:900 width:23 height:25 class_idx:100 text:红
x:174 y:770 width:17 height:16 class_idx:104 text:=
x:604 y:358 width:29 height:21 class_idx:104 text:142
x:389 y:403 width:18 height:16 class_idx:104 text:=
x:206 y:400 width:48 height:44 class_idx:101
x:407 y:471 width:32 height:33 class_idx:101
x:534 y:803 width:59 height:41 class_idx:101
x:607 y:658 width:28 height:22 class_idx:104 text:161
x:404 y:653 width:56 height:41 class_idx:101
x:358 y:545 width:34 height:23 class_idx:104 text:270
x:388 y:770 width:19 height:18 class_idx:104 text:=
x:637 y:323 width:22 height:23 class_idx:104 text:52
x:588 y:931 width:21 height:24 class_idx:100 text:下
x:195 y:619 width:58 height:37 class_idx:101
x:176 y:549 width:18 height:16 class_idx:104 text:=
x:344 y:330 width:16 height:15 class_idx:104 text:-
x:185 y:330 width:44 height:33 class_idx:101
x:588 y:658 width:17 height:21 class_idx:104 text:+
x:389 y:293 width:18 height:16 class_idx:104 text:=
x:553 y:960 width:32 height:23 class_idx:104 text:158
x:407 y:361 width:33 height:30 class_idx:101
x:605 y:618 width:30 height:23 class_idx:104 text:312
x:485 y:1015 width:22 height:25 class_idx:100 text:下
x:415 y:730 width:37 height:34 class_idx:101
x:155 y:733 width:19 height:17 class_idx:104 text:=
x:442 y:958 width:31 height:22 class_idx:104 text:182
x:199 y:800 width:61 height:44 class_idx:101
x:96 y:795 width:543 height:448 class_idx:200
x:226 y:928 width:15 height:23 class_idx:104 text:1
x:389 y:620 width:16 height:18 class_idx:104 text:=
x:91 y:864 width:17 height:22 class_idx:104 text:3
x:96 y:258 width:579 height:575 class_idx:203
x:492 y:986 width:30 height:30 class_idx:101
x:358 y:731 width:34 height:23 class_idx:104 text:382
x:316 y:1014 width:59 height:36 class_idx:101
x:166 y:621 width:18 height:17 class_idx:104 text:=
x:635 y:623 width:18 height:17 class_idx:104 text:=
x:389 y:509 width:18 height:19 class_idx:104 text:=
x:388 y:328 width:19 height:17 class_idx:104 text:=
x:634 y:584 width:19 height:19 class_idx:104 text:=
x:161 y:333 width:19 height:17 class_idx:104 text:=
x:410 y:619 width:43 height:30 class_idx:101
x:133 y:369 width:17 height:15 class_idx:104 text:-
x:203 y:691 width:35 height:29 class_idx:101
x:383 y:985 width:27 height:28 class_idx:101
x:560 y:903 width:22 height:25 class_idx:100 text:云
x:259 y:1016 width:30 height:27 class_idx:100 text:约
x:385 y:928 width:32 height:27 class_idx:101
x:529 y:618 width:56 height:37 class_idx:101
x:210 y:360 width:51 height:43 class_idx:101
x:585 y:434 width:20 height:15 class_idx:104 text:-
x:608 y:990 width:32 height:26 class_idx:104 text:170
x:623 y:398 width:17 height:16 class_idx:104 text:=
x:410 y:328 width:42 height:26 class_idx:101
x:637 y:814 width:17 height:16 class_idx:104 text:=
x:370 y:473 width:19 height:20 class_idx:104 text:=
x:389 y:548 width:18 height:17 class_idx:104 text:=
x:383 y:958 width:30 height:28 class_idx:101
x:372 y:365 width:17 height:18 class_idx:104 text:=
x:470 y:1051 width:12 height:25 class_idx:100 text:字
x:645 y:289 width:22 height:24 class_idx:101
x:625 y:509 width:18 height:17 class_idx:104 text:=
x:343 y:771 width:16 height:15 class_idx:104 text:-
x:343 y:548 width:17 height:15 class_idx:104 text:-
x:344 y:439 width:16 height:14 class_idx:104 text:-
x:388 y:734 width:19 height:16 class_idx:104 text:=
x:634 y:546 width:18 height:18 class_idx:104 text:=
x:497 y:929 width:30 height:25 class_idx:101
x:174 y:658 width:19 height:17 class_idx:104 text:=
x:417 y:436 width:46 height:30 class_idx:101
x:333 y:810 width:17 height:15 class_idx:104 text:-
x:179 y:405 width:16 height:15 class_idx:104 text:=
x:370 y:809 width:18 height:17 class_idx:104 text:=
x:612 y:926 width:31 height:32 class_idx:101
x:173 y:809 width:18 height:16 class_idx:104 text:=
x:587 y:624 width:18 height:15 class_idx:104 text:-
x:353 y:840 width:24 height:25 class_idx:100 text:组
x:174 y:694 width:19 height:19 class_idx:104 text:=
x:120 y:586 width:18 height:14 class_idx:104 text:-
x:558 y:473 width:20 height:16 class_idx:104 text:-
x:158 y:585 width:17 height:16 class_idx:104 text:=
x:634 y:434 width:15 height:17 class_idx:104 text:=
x:627 y:775 width:18 height:18 class_idx:104 text:=
x:370 y:696 width:19 height:17 class_idx:104 text:=
x:128 y:695 width:17 height:18 class_idx:104 text:-
x:492 y:955 width:28 height:29 class_idx:101
x:133 y:405 width:16 height:15 class_idx:104 text:-
x:637 y:660 width:17 height:18 class_idx:104 text:=
x:335 y:260 width:24 height:24 class_idx:102
x:331 y:698 width:19 height:13 class_idx:104 text:-
x:389 y:439 width:18 height:16 class_idx:104 text:=
x:179 y:300 width:19 height:15 class_idx:104 text:=
x:559 y:735 width:18 height:16 class_idx:104 text:-
x:585 y:321 width:20 height:15 class_idx:104 text:-
x:633 y:471 width:19 height:19 class_idx:104 text:=
x:343 y:621 width:16 height:15 class_idx:104 text:-
x:235 y:1016 width:26 height:25 class_idx:100 text:大
x:370 y:585 width:19 height:16 class_idx:104 text:=
x:334 y:366 width:16 height:15 class_idx:104 text:-
x:559 y:699 width:18 height:15 class_idx:104 text:-
x:159 y:440 width:19 height:16 class_idx:104 text:=
x:623 y:324 width:15 height:16 class_idx:104 text:=
x:179 y:370 width:17 height:14 class_idx:104 text:=
x:344 y:734 width:15 height:15 class_idx:104 text:-
x:575 y:1135 width:12 height:20 class_idx:100 text:一
x:178 y:478 width:17 height:15 class_idx:104 text:=
x:240 y:875 width:10 height:15 class_idx:100 text:，
x:129 y:660 width:16 height:14 class_idx:104 text:-
x:528 y:656 width:59 height:32 class_idx:101
x:343 y:660 width:16 height:13 class_idx:104 text:-
x:118 y:734 width:17 height:15 class_idx:104 text:-
x:379 y:659 width:19 height:15 class_idx:104 text:=
x:633 y:361 width:15 height:15 class_idx:104 text:=
x:131 y:476 width:18 height:14 class_idx:104 text:-
x:585 y:509 width:19 height:15 class_idx:104 text:-
x:537 y:1135 width:20 height:14 class_idx:100 text:一
x:637 y:736 width:17 height:18 class_idx:104 text:=
x:243 y:1101 width:8 height:15 class_idx:100 text:，
x:635 y:698 width:19 height:17 class_idx:104 text:=
x:409 y:548 width:35 height:28 class_idx:101
x:125 y:335 width:16 height:14 class_idx:104 text:-
x:387 y:1104 width:8 height:15 class_idx:100 text:的
x:630 y:289 width:15 height:16 class_idx:104 text:=
x:440 y:255 width:24 height:24 class_idx:100 text:O
x:412 y:803 width:38 height:31 class_idx:101
x:343 y:1120 width:60 height:66 class_idx:101
x:194 y:581 width:39 height:30 class_idx:101
x:680 y:350 width:15 height:18 class_idx:104 text:*
x:194 y:438 width:41 height:33 class_idx:101
x:338 y:1144 width:10 height:15 class_idx:100 text:，
x:146 y:188 width:23 height:26 class_idx:100 text:里
x:683 y:476 width:12 height:23 class_idx:100 text:3
x:675 y:318 width:18 height:21 class_idx:104 text:*
x:235 y:695 width:15 height:24 class_idx:104 text:0
x:679 y:383 width:16 height:20 class_idx:104 text:2
x:438 y:839 width:21 height:24 class_idx:300
x:166 y:188 width:19 height:20 class_idx:100 text:级
x:104 y:221 width:32 height:33 class_idx:100 text:题
x:589 y:814 width:16 height:17 class_idx:104 text:-
x:525 y:241 width:162 height:584 class_idx:203
